13999	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 8526	 89.4401	4	70070	70988	71950	72462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20983	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 9934	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17965	113.0732	1	93749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21870	109.4593	4	103334	103480	103776	103966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 3474	101.1280	5	17681	18065	18288	19614	20297	NA	NA	NA	NA	NA	NA	NA	NA	NA
11346	147.3210	7	59087	59838	60267	53853	54228	55373	55803	NA	NA	NA	NA	NA	NA	NA
14038	105.1526	1	52076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
  211	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 3705	106.8446	7	88174	18808	19603	20025	20461	20958	21444	NA	NA	NA	NA	NA	NA	NA
10286	112.0000	2	21855	22457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13190	 61.7413	1	73104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13921	 93.3662	4	72101	72394	72482	74566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18723	136.9665	3	91071	92999	94628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22122	124.1232	1	106499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
  381	124.6489	1	1582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14290	119.0554	2	77292	77566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 1067	 44.7201	7	6447	68166	7297	8286	8651	9456	9974	NA	NA	NA	NA	NA	NA	NA
 9365	106.3874	10	49952	50213	50408	50646	50844	51090	51378	51764	51944	52329	NA	NA	NA	NA
  172	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20290	118.4066	10	98895	98954	99106	99700	99881	100083	100185	100348	100556	100659	NA	NA	NA	NA
 7990	 85.3087	3	43403	45974	48559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20592	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20610	113.6701	1	100438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15632	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
